name,role,location,party,bills,motions
mike schreiner,,Guelph,Green Party of Ontario,"{'bill_name': ['Bill 219, No Free Ride for Fossil Fuels Act, 2024', 'Bill 206, Affordable Electric Vehicles and Accessible Charging Act, 2024', 'Bill 156, Homes You Can Afford in the Communities You Love Act, 2024', 'Bill 111, No More Pits or Quarries in the Greenbelt Act, 2023', 'Bill 110, No More Highways in the Greenbelt Act, 2023', 'Bill 109, Hands Off the Greenbelt Act, 2023', 'Bill 45, Building More Homes on Major Streets and Transit Corridors Act, 2022', 'Bill 44, Building More Homes by Ending Exclusionary Zoning Act, 2022', 'Bill 41, Protection from Coerced Debts Incurred in relation to Human Trafficking Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-219', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-206', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-156', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-111', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-110', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-109', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-45', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-44', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-41'], 'explanatory_notes': ['The Bill amends the Municipal Act, 2001 to give a municipality or local board the power to impose fees or charges on a producer, gas distributor, gas transmitter or storage company, as these terms are defined in section 3 of the Ontario Energy Board Act, 1998, for services or activities, costs payable or the use of property. The Act is also amended to provide that a regulation cannot impose conditions and limitations on that power.', 'The Bill enacts the Affordable Electric Vehicles and Accessible Charging Act, 2024. The Act requires the Minister of Transportation to establish an electric vehicle strategy that aims to increase the affordability of electric vehicles and the accessibility of charging stations. The Act also requires the Minister, as part of the development of the strategy, to consult with such persons, other levels of government and stakeholders as the Minister considers appropriate and to report annually on the actions taken as part of the strategy.', 'The Bill makes various amendments to the Planning Act.', 'The Bill amends the Greenbelt Act, 2005 to provide that the Greenbelt Plan is deemed to prohibit any person from applying for an aggregate permit to operate a new pit or quarry in the Greenbelt Area or expanding an existing pit or quarry in the Greenbelt Area. A consequential amendment is made to section 9 of the Act.', 'The Bill amends the Greenbelt Act, 2005 to provide that the Greenbelt Plan is deemed to prohibit, in all of the Greenbelt Area, the erection, location and use of buildings or structures for the purposes of any new controlled-access highways. A consequential amendment is made to section 9 of the Act. Section 16 of the Act is amended to restrict the Minister from making an order under either that section or section 47 of the Planning Act that would have the effect of contravening the prohibition on controlled-access highways.', 'The Bill amends the Greenbelt Act, 2005 to restrict the Minister and the Lieutenant Governor in Council from removing land from the Greenbelt Area, removing land from the application of the Greenbelt Plan and removing a designation of land as Protected Countryside. These new restrictions apply retroactively as of December 13, 2022.', 'The Bill amends the Planning Act to require official plans to contain policies that authorize, in areas of settlement, midrise housing developments ranging from six to 11 stories on major streets, including along transit corridors. The Act is amended to provide that there are no appeals in respect of such policies, with the exception of appeals by the Minister, and a new section 35.1.1 requires the council of each local municipality to ensure that the by-laws it passes under section 34 give effect to such policies.', 'The Bill amends the Planning Act to require official plans to contain policies authorizing, in areas of settlement, the use of up to four residential units in a detached house, semi-detached house or rowhouse as well as multi-unit residential buildings of up to four stories. The Act is amended to provide that there are no appeals in respect of such policies, with the exception of appeals by the Minister. A new section 35.0.1 requires the council of each local municipality to ensure that the by-laws it passes under section 34 give effect to such policies.', 'The Bill amends the Consumer Reporting Act and the Prevention of and Remedies for Human Trafficking Act, 2017. The Consumer Reporting Act is amended to prohibit the inclusion in consumer reports of information respecting any coerced debt. The Prevention of and Remedies for Human Trafficking Act, 2017 is amended to add a new Part IV, which provides for the concept of a coerced debt, that being a debt incurred as a result of the debtor being subjected to human trafficking. The provisions of this new Part prohibit the collection of coerced debts and prohibit persons or entities from taking them into consideration when determining whether to provide credit services or products to the debtor. In the case of a dispute between a creditor and a debtor as to whether a debt is a coerced debt, either may apply to a prescribed individual or group of individuals for a determination.']}","{'motion_name': ['Motion 115', 'Motion 102', 'Motion 97', 'Motion 83', 'Motion 74', 'Motion 21', 'Motion 3'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_0B713526-DE1D-EF11-840A-002248B1AE9E', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_1E427635-B201-EF11-9F89-0022483C53EC', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_95012785-C2FD-EE11-9F89-002248AFCBA1', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_764D5D30-23D7-EE11-904D-6045BD5D65A7', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_FC3B70BE-C487-EE11-8179-000D3AF4FB27', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_E38DF36D-D469-ED11-81AC-002248D51D1B', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_CDF81E3B-5122-ED11-9DB2-002248D51D1B']}"
laurie scott,"hair, Standing Committee on Heritage, Infrastructure and Cultural Policy",Haliburton—Kawartha Lakes—Brock,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 138, Change of Name Amendment Act, 2023', 'Bill 96, Ministry of Correctional Services Amendment Act (Parole), 2023', 'Bill 59, Making Sexual Assault Evidence Kits Available Act, 2022', 'Bill PR58, Lakeside Village Property Owners’ Association Fenelon Township Inc. Act, 2024', 'Bill 41, Protection from Coerced Debts Incurred in relation to Human Trafficking Act, 2023', 'Bill Pr41, Qui Vive Island Club Inc. Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-138', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-96', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-59', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr58', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-41', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr41'], 'explanatory_notes': ['The Bill amends the Change of Name Act to provide that certain offenders are ineligible to apply to change their name. The offenders who are ineligible are those who are required to comply with Christopher’s Law (Sex Offender Registry), 2000.', 'The Bill provides that if an inmate who committed sexual or domestic violence is released on parole, the Board shall consider the appropriateness of electronic monitoring and may impose conditions with respect to electronic monitoring.', 'The Bill enacts the Making Sexual Assault Evidence Kits Available Act, 2022, which requires the Minister of Health to direct every public hospital to have at least 10 sexual assault evidence kits available in the hospital at all times.', 'The purpose of the Bill is set out in the Preamble.', 'The Bill amends the Consumer Reporting Act and the Prevention of and Remedies for Human Trafficking Act, 2017. The Consumer Reporting Act is amended to prohibit the inclusion in consumer reports of information respecting any coerced debt. The Prevention of and Remedies for Human Trafficking Act, 2017 is amended to add a new Part IV, which provides for the concept of a coerced debt, that being a debt incurred as a result of the debtor being subjected to human trafficking. The provisions of this new Part prohibit the collection of coerced debts and prohibit persons or entities from taking them into consideration when determining whether to provide credit services or products to the debtor. In the case of a dispute between a creditor and a debtor as to whether a debt is a coerced debt, either may apply to a prescribed individual or group of individuals for a determination.', '1 Qui Vive Island Club Inc. is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.']}","{'motion_name': [], 'motion_href': []}"
adil shamji,,Don Valley East,Ontario Liberal Party,"{'bill_name': ['Bill 203, Keeping Primary Care Fair Act (Restricting Private Payments for Nurse Practitioner Services), 2024', 'Bill 175, Building Universal and Inclusive Land Development in Ontario Act, 2024', ""Bill 72, Health Professionals' Week Act, 2023"", 'Bill 67, Temporary Nursing Agency Licensing and Regulation Act, 2023', 'Bill Pr27, 1376122 Ontario Ltd. Act, 2023', 'Bill 10, Publication of Mandate Letters Act, 2022'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-203', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-175', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-72', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-67', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr27', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-10'], 'explanatory_notes': ['The Bill amends the Commitment to the Future of Medicare Act, 2004.', 'The Bill amends the Planning Act with respect to official plans and by-laws.', 'The Bill proclaims the third week of June in each year as Health Professionals’ Week.', 'The Bill enacts the Temporary Nursing Agency Licensing and Regulation Act, 2023.', '1 1376122 Ontario Ltd. is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.', 'The Bill amends the Executive Council Act and the Freedom of Information and Protection of Privacy Act.']}","{'motion_name': [], 'motion_href': []}"
sandy shaw,"itic, Environment, Conservation and Parks Deputy Opposition Whip Member, Standing Committee on the Interi",Hamilton West—Ancaster—Dundas,New Democratic Party of Ontario,"{'bill_name': ['Bill 198, Ontario Climate Change Adaptation and Resilience Act, 2024', 'Bill 130, Oil, Gas and Salt Resources Amendment Act (Anti-Fracking), 2023', 'Bill 120, Liability for Climate-Related Harms Act, 2023', 'Bill 83, Environmental Protection Amendment Act (Microfibre Filters for Washing Machines), 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-198', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-130', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-120', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-83'], 'explanatory_notes': ['The Bill enacts the Ontario Climate Change Adaptation and Resilience Act, 2024. The Act provides that the Minister of Environment, Conservation and Parks or such other member of the Executive Council as may be assigned the administration of this Act under the Executive Council Act shall develop and publish a strategic action plan that aims to ensure that Ontario citizens, communities, infrastructure and natural environment are protected from the risks and impacts of climate change. The Act also requires the Minister to establish an arm’s length Ontario Climate Adaptation Fund to support the implementation of adaptation and resilience activities included in the strategic action plan. The Minister is also required to establish the Ontario Climate Change Adaptation and Resilience Resource Centre. The Lieutenant Governor in Council is required to establish a Whole-of-Government Climate Adaptation Co-ordination Secretariat that, among other things, will co-ordinate and assist with the implementation of science-aligned climate adaptation plans for all government ministries and agencies, including formulating and implementing policy, legislation and regulations.', 'The Bill amends the Oil, Gas and Salt Resources Act to prohibit hydraulic fracturing and activities related to hydraulic fracturing for the purpose of the exploration for or production of oil or gas trapped in shale.', 'The Bill enacts the Liability for Climate-Related Harms Act, 2023. The Act provides that a fossil fuel producer is strictly liable for climate-related harms that occur in Ontario if the producer is responsible for greenhouse gas emissions at a globally detectable level. The Act contains a definition of “climate-related harms”. Certain evidentiary matters are provided for.', 'The Bill amends the Environmental Protection Act to prohibit the sale or offering for sale of washing machines that are not equipped with a specified microfibre filter and to provide for corresponding penalties in case of non-compliance with the requirement.']}","{'motion_name': ['Motion 125', 'Motion 121', 'Motion 120', 'Motion 89', 'Motion 88', 'Motion 86', 'Motion 87', 'Motion 39', 'Motion 40', 'Motion 42', 'Motion 41', 'Motion 4'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_75ECBFEB-2D24-EF11-840A-002248B1AE9E', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_82E9AA51-6523-EF11-840A-002248B1AE9E', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_56AB5A00-6523-EF11-840A-002248B1AE9E', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_B7AB1564-7BEC-EE11-A1FD-0022483CC08F', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_7C5BD20E-B1E7-EE11-A203-6045BD5BD5F0', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_6DE0AFCF-B0E7-EE11-A203-6045BD5BD5F0', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_5DC45DFB-B0E7-EE11-A203-6045BD5BD5F0', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_B25D4B94-EDC8-ED11-B595-000D3A0A01D2', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_A0467DC5-EDC8-ED11-B595-000D3A0A01D2', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_640E7C07-EEC8-ED11-B595-000D3A0A0B92', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_3E0510C2-EDC8-ED11-B595-000D3A0A0B92', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_753775E2-E323-ED11-9DB2-002248D51D1B']}"
donna skelly,"hair of the Committee of the Whole House Deputy Speaker Vice-Chair, Standing Committee on Public Acc",Flamborough—Glanbrook,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 81, Croatian Heritage Day Act, 2024'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-81'], 'explanatory_notes': ['1 May 30 in each year is proclaimed as Croatian Heritage Day.']}","{'motion_name': [], 'motion_href': []}"
dave smith,"Parliamentary Assistant to the Minister of Finance Member, Standing Committee on Finance and Economic Affai",Peterborough—Kawartha,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 31, Murray Whetung Community Service Award Act, 2024', 'Bill Pr30, Rapati Design and Construction Ltd. Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-31', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr30'], 'explanatory_notes': ['The Murray Whetung Community Service Award Act, 2024 is enacted. The Act provides that the Minister of Citizenship and Multiculturalism shall provide for an award to be given each year to a cadet in each local Royal Canadian Air Cadet corps, Royal Canadian Army Cadet corps and Royal Canadian Sea Cadet corps who is selected by their corps for demonstrating exceptional citizenship and volunteerism within their community and their corps.', '1 Rapati Design and Construction Ltd. is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.']}","{'motion_name': [], 'motion_href': []}"
david smith,"hair, Standing Committee on Government Agencies Parliamentary Assistant to the Minister of Mi",Scarborough Centre,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 117, Skilled Trades Week Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-117'], 'explanatory_notes': ['The Bill proclaims the first full week in November in each year as Skilled Trades Week.']}","{'motion_name': [], 'motion_href': []}"
graydon smith,Minister of Natural Resourc,Parry Sound—Muskoka,Progressive Conservative Party of Ontario,"{'bill_name': [], 'bill_href': [], 'explanatory_notes': []}","{'motion_name': [], 'motion_href': []}"
laura smith,"Parliamentary Assistant to the Minister of Children, Community and Social Services Member, Standing Committee on Government Agencies Member, Standing Committee on Social Policy",Thornhill,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 138, Change of Name Amendment Act, 2023', 'Bill 121, Improving Dementia Care in Ontario Act, 2024', 'Bill Pr37, Doreen Scolnick Investments Limited Act, 2024', 'Bill Pr33, 1000067464 Ontario Inc. Act, 2023', 'Bill Pr19, The Noble House Corporation Act, 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-138', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-121', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr37', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr33', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-pr19'], 'explanatory_notes': ['The Bill amends the Change of Name Act to provide that certain offenders are ineligible to apply to change their name. The offenders who are ineligible are those who are required to comply with Christopher’s Law (Sex Offender Registry), 2000.', '1 (1)\xa0\xa0The purpose of this section is to develop a framework to ensure that every Ontarian has access to quality dementia care.', '1 Doreen Scolnick Investments Limited is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.', '1 1000067464 Ontario Inc. is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.', '1 The Noble House Corporation is revived and is, subject to any rights acquired by any person after its dissolution, restored to its legal position, including all its property, rights, privileges and franchises and subject to all its liabilities, contracts, disabilities and debts, as of the date of its dissolution, in the same manner and to the same extent as if it had not been dissolved.']}","{'motion_name': ['Motion 90'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_51A03E92-2BED-EE11-A1FD-0022483CC08F']}"
jennifer jennie stevens,"itic, Solicitor General Critic, Sport Critic, Tourism Critic, Veterans, Legions and Military Affai",St. Catharines,New Democratic Party of Ontario,"{'bill_name': ['Bill 213, Affordable Home Heating Act, 2024', 'Bill 196, Justice for Soli Act (Stop Criminalizing Mental Health), 2024', 'Bill 80, Viewer Discretion Act (Images of Fetuses), 2023', 'Bill 58, Protecting Renters from Illegal Evictions Act, 2022'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-213', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-196', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-80', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-58'], 'explanatory_notes': ['The Bill enacts the Affordable Home Heating Act, 2024. The Act requires the Minister of Energy to develop an alternative home heating fuel strategy and to publish that strategy on a website of the Government of Ontario.', 'The Bill enacts the Justice for Soli Act (Stop Criminalizing Mental Health), 2024. The Act requires the Government of Ontario to recognize that a correctional facility is not an appropriate environment for a person experiencing a mental health crisis and that mental illness should not be criminalized.', 'The Bill provides that no one shall send a graphic image of a fetus by mail or otherwise distribute such an image unless the image is contained in an opaque envelope, the exterior of the envelope includes a description of the contents and the exterior of the envelope clearly identifies the sender. The penalty for violating this prohibition is a fine of $100 per image.', 'The Bill makes various amendments respecting notices of termination of a tenancy under the Residential Tenancies Act, 2006 and related applications to the Landlord and Tenant Board (the “Board”) where the grounds for the notice relate to the personal occupation of the rental unit in question by the landlord, a family member of the landlord or a person who purchases the rental unit or residential complex containing the rental unit or to the repair, renovation or demolition of the unit or its conversion to a non-residential use. The following amendments are made to the Act:']}","{'motion_name': ['Motion 147', 'Motion 73', 'Motion 36'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_04E8FC4A-8BA6-EF11-B8E9-6045BD5CBA5B', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_73EC0B86-A679-EE11-8179-000D3AF4FD82', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_029B1C4E-C7BD-ED11-83FE-000D3AF40FC6']}"
marit stiles,"itic, Intergovernmental Affairs Leader, New Democratic Party of Ontario Leader, Official Oppositi",Davenport,New Democratic Party of Ontario,"{'bill_name': ['Bill 176, End the Public Funding of Partisan Government Advertising Act, 2024', 'Bill 148, Cleaning Up Corruption Act, 2023', ""Bill 100, Strengthening Members' Integrity Act, 2023"", 'Bill 18, Consent Awareness Week Act, 2022', 'Bill 12, Ending Automobile Insurance Discrimination in the Greater Toronto Area Act, 2022'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-176', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-148', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-100', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-18', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-12'], 'explanatory_notes': ['The Building Ontario Up Act (Budget Measures), 2015 made numerous amendments to the Government Advertising Act, 2004. Among the amendments made were changes to the rules that apply when the Auditor General reviews government advertising. The Bill amends the Act to reverse those amendments so that the Act reads substantially as it did before the 2015 amendments.', 'The Bill amends the Auditor General Act. Subsection 10 (1) of the Act is re-enacted to provide that the duty to furnish information applies to documents and information that are otherwise confidential or subject to certain privilege rights. Subsection 10 (2) of the Act is also re-enacted to provide that the Auditor General’s right to access information applies despite other rights of privacy, confidentiality and privilege.', 'Currently, subsection 6 (1) of the Members’ Integrity Act, 1994 provides that a member of the Assembly shall not accept a fee, gift or personal benefit that is connected directly or indirectly with the performance of the member’s duties of office.', 'The Bill proclaims the week beginning on the third Monday in September in each year as Consent Awareness Week.', 'The Bill amends the Insurance Act in order to prevent residents of the Greater Toronto Area from paying different rates for automobile insurance based solely on the municipality or area in which they reside in the Greater Toronto Area.']}","{'motion_name': ['Motion 4', 'Motion 3', 'Motion 2', 'Motion 1', 'Motion 5', 'Motion 4', 'Motion 3', 'Motion 2', 'Motion 1', 'Motion 5', 'Motion 4', 'Motion 3', 'Motion 2', 'Motion 1', 'Motion 52', 'Motion 4', 'Motion 3', 'Motion 2', 'Motion 1'], 'motion_href': ['https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_B80F8816-8DA7-EF11-B8E8-0022483E7007', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_49FE861C-8E9C-EF11-8A69-6045BD5BE34F', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_B69C14F0-EE96-EF11-8A69-002248B2E8A8', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_580BB480-7991-EF11-8A6A-002248AFD5B2', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_AAAA0743-7C0D-EF11-9F89-0022483D483F', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_220B0A20-FFFC-EE11-9F89-000D3AF307CC', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_E9DB8BD0-F7E6-EE11-A203-6045BD61612F', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_2B03D08A-01DC-EE11-904D-6045BD5D65A7', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_C1DED5B8-49D6-EE11-904D-6045BD60D367', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_D53174F2-F983-EE11-8179-000D3AF4FD82', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_DD4978AC-F878-EE11-8179-000D3AF4F44A', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_AF2862A1-EE6D-EE11-8179-000D3AF4FB27', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_FEF921A3-E962-EE11-8DF0-000D3AF4FB27', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_C8FBC185-6E5D-EE11-8DF0-000D3AF4FD82', 'https://www.ola.org/en/legislative-business/status-business/private-members-motions/#motion_B0BB0BAD-D7ED-ED11-8848-000D3AF4FB27', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_594E2531-E7DE-ED11-8846-000D3AF4F44A', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_9D76F851-DFC8-ED11-B595-000D3A0A0B92', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_44EFD93E-78B8-ED11-B596-002248D5A587', 'https://www.ola.org/en/legislative-business/status-business/opposition-day-debates-want-confidence-motions/#motion_76CDB6C3-F3B2-ED11-83FD-000D3A0A2BD9']}"
kinga surma,Minister of Infrastruc,Etobicoke Centre,Progressive Conservative Party of Ontario,"{'bill_name': ['Bill 151, Improving Real Estate Management Act, 2024', 'Bill 131, Transportation for the Future Act, 2023', 'Bill 69, Reducing Inefficiencies Act (Infrastructure Statute Law Amendments), 2023'], 'bill_href': ['https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-151', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-131', 'https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/bill-69'], 'explanatory_notes': ['Various statutes are amended with respect to the acquisition or disposal of real estate.', 'The City of Toronto Act, 2006 is amended to provide that the TTC may enter into an agreement with a municipality or local board authorizing the municipality or local board to operate, maintain or both operate and maintain part of a local passenger transportation system within the City.', 'Subsection 15.1.1 (5) of the Environmental Assessment Act prohibits persons from proceeding with certain undertakings until a specified number of days have passed following the end of the comment period for each undertaking. The Schedule amends section 15.1.1 to permit the Minister to make an order that subsection 15.1.1 (5) ceases to apply to an undertaking. An order may only be made after the end of the comment period.']}","{'motion_name': [], 'motion_href': []}"
